Alexandra, Sylvester, NS, College of Physicians and Surgeons of Nova Scotia
Alexia, Lam, QC, Collège des médecins du Québec
Ali Lopez, Sarmiento, QC, Collège des médecins du Québec 
Allen, Finley, NS, College of Physicians and Surgeons of Nova Scotia
Aman, Chauhan, AB, College of Physicians and Surgeons of Alberta 
Amanpreet, Gill, BC, College of Physicians and Surgeons of British Columbia 
Amy, Pieroway, NL, College of Physicians and Surgeons of Newfoundland and Labrador 
Anne-Josee, Cote, AB, College of Physicians and Surgeons of Alberta
Annie, Li, QC, Collège des médecins du Québec
Annie-Jade, Lespérance, QC, Collège des médecins du Québec
Anthony, Chiu, AB, College of Physicians and Surgeons of Alberta
Anthony, Keen, BC, College of Physicians and Surgeons of British Columbia
Anu, Aalto, BC, College of Physicians and Surgeons of British Columbia 
Arnold, Chetty, AB, College of Physicians and Surgeons of Alberta 
Astrid, Peacock, NL, College of Physicians and Surgeons of Newfoundland and Labrador
Audrey, Van Zanten, SK, College of Physicians and Surgeons of Saskatchewan
Ben, Thistlewood, SK, College of Physicians and Surgeons of Saskatchewan
Bernadette, loontjens, QC, Collège des médecins du Québec
Bonnie, Edwards, ON, College of Physicians and Surgeons of Ontario
Brittni, Webster, SK, College of Physicians and Surgeons of Saskatchewan
Carla, Saldanha, NL, College of Physicians and Surgeons of Newfoundland and Labrador
Caroline, Chee, AB, College of Physicians and Surgeons of Alberta
Carson, Gill, BC, College of Physicians and Surgeons of British Columbia 
Chandra, Magill, QC, Collège des médecins du Québec
Christopher, Stone, NB, College of Physicians and Surgeons of New Brunswick
Christopher, Pang, NS, College of Physicians and Surgeons of Nova Scotia 
Constance, LeBlanc, NS, College of Physicians and Surgeons of Nova Scotia
Courtney, Jones, NS, College of Physicians and Surgeons of Nova Scotia
Dalia, El-Assar, ON, College of Physicians and Surgeons of Ontario
Danielle, Roy, MB, College of Physicians and Surgeons of Manitoba
Davey, Gin, BC, College of Physicians and Surgeons of British Columbia
David, Abriel, NS, College of Physicians and Surgeons of Nova Scotia
David, Ley, NS, College of Physicians and Surgeons of Nova Scotia
Diana, Sam, MB, College of Physicians and Surgeons of Manitoba
Edward, James Collins, AB, College of Physicians and Surgeons of Alberta
Élisabeth, Auger Labadie, QC, Collège des médecins du Québec
Emily, Saganski, MB, College of Physicians and Surgeons of Manitoba
Farzana, Timol, SK, College of Physicians and Surgeons of Saskatchewan
Felicia, Lotsios, NS, College of Physicians and Surgeons of Nova Scotia
Florence, Cheng, AB, College of Physicians and Surgeons of Alberta
Frances, Moriarty, NS, College of Physicians and Surgeons of Nova Scotia
Françoise, Mamet, QC, Collège des médecins du Québec
Gaetan, Gibbs, NB, College of Physicians and Surgeons of New Brunswick
Gaganjeet, Mahil, NS, College of Physicians and Surgeons of Nova Scotia
Gail, Sawa, MB, College of Physicians and Surgeons of Manitoba
Gavin, Roche, MB, College of Physicians and Surgeons of Manitoba
Gina, Eom, ON, College of Physicians and Surgeons of Ontario
Gregory, Aaen, ON, College of Physicians and Surgeons of Ontario
Gregory, Pins, ON, College of Physicians and Surgeons of Ontario
Hannah, Gibson, BC, College of Physicians and Surgeons of British Columbia
Harneet, Gill, BC, College of Physicians and Surgeons of British Columbia
Heather, Tait, NB, College of Physicians and Surgeons of New Brunswick
Heather, O'Dea, NL, College of Physicians and Surgeons of Newfoundland and Labrador
Helena, Beugré, QC, Collège des médecins du Québec
Ian, Gillespie, BC, College of Physicians and Surgeons of British Columbia
Ian, Eckensweiler, ON, College of Physicians and Surgeons of Ontario
Irene, Vasiliu, NB, College of Physicians and Surgeons of New Brunswick
Ishani, Samarasena, MB, College of Physicians and Surgeons of Manitoba
Jacki, Wessel, SK, College of Physicians and Surgeons of Saskatchewan
Jacquelyn, Gilbank, BC, College of Physicians and Surgeons of British Columbia
James, Werbicki, SK, College of Physicians and Surgeons of Saskatchewan
Jan, Gideon Roux, MB, College of Physicians and Surgeons of Manitoba
Jane, Cho, AB, College of Physicians and Surgeons of Alberta
Jasdeep, Gill, BC, College of Physicians and Surgeons of British Columbia
Jenna, Paul, NL, College of Physicians and Surgeons of Newfoundland and Labrador
Jian, Zhou, BC, College of Physicians and Surgeons of British Columbia
John, Tobin, NB, College of Physicians and Surgeons of New Brunswick
Jonah, Elfassy, ON, College of Physicians and Surgeons of Ontario
